,coef,std_err,z,p_value,ci_low,ci_high,train_deals,premium_%,ppm2_400m2_2025Q4
الرياض/الملك سلمان,1.3143312019412545,0.05720130517556513,22.977293925501225,7.86368038925397e-117,1.2022166437971469,1.4264457600853622,239,292.4581439259125,8658.529042510761
الرياض/الملك عبد الله,0.9553473334172162,0.061771123962081405,15.465921164129412,5.892427774879786e-54,0.8342759304515367,1.0764187363828959,211,174.0871230910773,6046.992149843946
الرياض/الملك عبدالعزيز,0.9127212673219661,0.08649883741102324,10.551832771866259,4.981574129492326e-26,0.7431835459963606,1.0822589886475718,56,162.64937222459204,5794.64906666114
الرياض/الملك فهد,0.9353375527051077,0.05795700069764755,16.138474066051394,1.3688377298598857e-58,0.8217418313377185,1.0489332740724968,260,168.65720675269392,5927.195710295033
الرياض/الملك فيصل,0.6275442657272461,0.05947810362248039,10.55084522718473,5.034216150060802e-26,0.5109671826271845,0.7441213488273076,305,97.48111423510268,4356.887452626833
الرياض/المناخ,-0.5135359607684576,0.06497270298378006,-7.903872506222466,2.7036956774265493e-15,-0.6408824586166666,-0.3861894629202487,276,-36.90997156126671,1391.9110916264376
الرياض/المنار,0.7381266754378012,0.05565751052685614,13.261941981426506,3.848002933971229e-40,0.6290379548051631,0.8472153960704393,233,120.57226317646892,4866.331292251941
الرياض/المنصورة,0.3181377947001619,0.060943518183426526,5.220207237505347,1.7872302539911921e-07,0.1986884990606459,0.4375870903396779,200,44.9279155420657,3197.443052751159
الرياض/المهدية,0.4182948279891426,0.05107588225915151,8.18967405921206,2.6193456130638227e-16,0.3181860987612056,0.5184035572170795,2693,60.19527148971528,3534.2760295183066
الرياض/المونسية,0.8386973618088506,0.05105691822934415,16.426713379790765,1.231554143369003e-60,0.738625802079336,0.9387689215383651,1793,143.9092065457322,5381.197922116911
الرياض/النخبة,-1.4595123820495857,0.051791693129937026,-28.180433846561144,1.0158297306245746e-174,-1.5610241005842622,-1.3580006635149091,931,-75.50212674496223,540.4794124963687
الرياض/النخيل,1.365641996775903,0.0552400213233824,24.721967227008367,6.209265759108803e-135,1.2573715549820736,1.4739124385697324,368,313.12106545157576,9114.400602069612
الرياض/الندوة,0.34917531043101924,0.06356567598617466,5.49314240765667,3.948441460664761e-08,0.22458658549811691,0.47376403536392153,167,49.496652361103365,3298.2398919745865
الرياض/الندى,1.177383661322783,0.051721645481491614,22.76384771524922,1.046481552641565e-114,1.0760092361790594,1.2787580864665067,827,242.22976919760094,7550.375604815008
الرياض/النرجس,1.0518351658073992,0.05036213589468108,20.885435995149823,7.263869780041859e-97,0.9531253794538244,1.150544952160974,4658,201.85110189956643,6659.529360676636
الرياض/النزهة,1.045526397324241,0.060038433147894345,17.414285192099644,6.428678269167956e-68,0.9278510683543681,1.163201726294114,233,199.95278749051386,6617.648179977534
الرياض/النسيم,0.09923285483736878,0.0529670389610641,1.8734831469494555,0.061001697826067396,-0.004582541526316847,0.2030482512010544,1225,16.434809904620273,2568.8196275745854
الرياض/النظيم,-0.21065439737178382,0.05127467961818065,-4.108351313756261,3.984936222652797e-05,-0.3111527694234179,-0.11015602532014974,2094,-14.591614012900699,1884.3053762259876
الرياض/النفل,1.011892900645859,0.05677559440355704,17.822673831530384,4.71290173884979e-71,0.9006127356148872,1.1231730656768308,366,190.03209537439542,6398.774901033845
الرياض/النهضة,0.5110158333659895,0.05285388501511381,9.668463031995893,4.1049645953505337e-22,0.40742221873636647,0.6146094479956126,913,75.7591379353844,3877.6507096447663
