year,quarter,region,city,district,prop_type,prop_type_en,prop_class,prop_class_en,deed_count,total_price,area_m2,avg_ppm2,max_ppm2,min_ppm2
2024,1,الرياض,الرياض,الصحافة,أرض,land,تجاري,commercial,5,258600000.0,10397.0,,,
2024,1,الرياض,الرياض,الصحافة,أرض,land,سكني,residential,19,56233974.94,10724.85,5478.10679389313,6133.33,3797.34
2024,1,الرياض,الرياض,الصحافة,شقة,apartment,سكني,residential,23,31139834.52,3491.73,10344.2234659286,13044.0,7258.06
2024,1,الرياض,الرياض,الصحافة,فيلا,villa,سكني,residential,17,147047711.98,9436.13,11020.2601580849,16750.0,8333.33
2024,1,الرياض,الرياض,الصفا,أرض,land,تجاري,commercial,23,114622042.34,40874.99,2508.71976603653,3333.33,2117.1
2024,1,الرياض,الرياض,الصفا,أرض,land,سكني,residential,93,113991595.0,33956.38,3303.95478424464,3806.82,2950.0
2024,1,الرياض,الرياض,الصفا,فيلا,villa,سكني,residential,12,18419914.0,3103.19,4713.72921903968,6505.33,4300.0
2024,1,الرياض,الرياض,الصناعية,أرض,land,تجاري,commercial,1,5871250.0,1174.25,,,
2024,1,الرياض,الرياض,الصناعية,أرض,land,سكني,residential,7,13835132.0,7521.9,547.615295764521,2409.64,140.27
2024,1,الرياض,الرياض,الضباط,أرض,land,سكني,residential,7,9800000.0,2882.84,3070.82437676223,3478.26,2633.74
2024,1,الرياض,الرياض,الضباط,فيلا,villa,سكني,residential,12,29607573.98,5693.84,4510.37525181613,5397.3,3800.0
2024,1,الرياض,الرياض,العارض,أرض,land,تجاري,commercial,52,389485134.0,64870.19,5752.74984690713,7200.0,5043.37
2024,1,الرياض,الرياض,العارض,أرض,land,سكني,residential,144,324216831.89,81185.93,4517.4504236254,5001.25,3913.25
2024,1,الرياض,الرياض,العارض,شقة,apartment,سكني,residential,400,378451190.84,54466.5700000001,6727.21635198475,7792.52,6049.8
2024,1,الرياض,الرياض,العارض,فيلا,villa,سكني,residential,216,492891065.55,59880.3208,8204.39994394849,9267.84,7053.2
2024,1,الرياض,الرياض,العريجاء,أرض,land,تجاري,commercial,34,50723741.86,19340.65,2548.7359012715,3066.67,2000.0
2024,1,الرياض,الرياض,العريجاء,أرض,land,سكني,residential,61,54416371.54,25642.68,1969.03993220339,2525.0,1325.0
2024,1,الرياض,الرياض,العريجاء,عمارة,building,سكني,residential,4,525000.0,114.19,,,
2024,1,الرياض,الرياض,العريجاء,فيلا,villa,سكني,residential,2,1690000.0,627.38,,,
2024,1,الرياض,الرياض,العريجاء الأوسط,أرض,land,تجاري,commercial,2,2200000.0,800.0,,,
2024,1,الرياض,الرياض,العريجاء الأوسط,أرض,land,سكني,residential,28,28405367.0,8300.01,3857.80728767362,5248.43,2500.0
2024,1,الرياض,الرياض,العريجاء الأوسط,فيلا,villa,سكني,residential,2,1973171.0,650.72,,,
2024,1,الرياض,الرياض,العريجاء الغربي,أرض,land,تجاري,commercial,7,4789486.0,3247.0,1875.0,2625.0,1500.0
2024,1,الرياض,الرياض,العريجاء الغربي,أرض,land,سكني,residential,61,57846391.09,23372.34,2284.19406448476,3975.0,1500.0
2024,1,الرياض,الرياض,العريجاء الغربي,شقة,apartment,سكني,residential,15,9428000.0,2531.71,3613.33111492321,4164.93,3304.19
2024,1,الرياض,الرياض,العريجاء الغربي,عمارة,building,سكني,residential,1,300000.0,108.9,,,
2024,1,الرياض,الرياض,العريجاء الغربي,فيلا,villa,سكني,residential,3,3099900.0,934.5,,,
2024,1,الرياض,الرياض,العزيزية,أرض,land,سكني,residential,149,155602198.68,87759.11,1684.3721206211,2242.16,1333.33
2024,1,الرياض,الرياض,العزيزية,أرض,land,تجاري,commercial,27,114645258.0,54294.46,1597.63514159695,3200.0,1100.0
2024,1,الرياض,الرياض,العزيزية,شقة,apartment,سكني,residential,41,16131462.84,5734.3792,2708.26344433416,4010.04,1854.03
2024,1,الرياض,الرياض,العزيزية,فيلا,villa,سكني,residential,106,74635287.0,21031.1,3595.94508789184,4110.08,3155.71
2024,1,الرياض,الرياض,العقيق,أرض,land,تجاري,commercial,9,99990000.0,8785.0,11381.9009675583,16000.0,8000.0
2024,1,الرياض,الرياض,العقيق,أرض,land,سكني,residential,26,59943133.94,13527.9,5300.51383624798,6400.0,3083.96
2024,1,الرياض,الرياض,العقيق,شقة,apartment,سكني,residential,56,57021740.06,7154.16,7724.6517689001,9356.62,6258.14
2024,1,الرياض,الرياض,العقيق,فيلا,villa,سكني,residential,9,59580395.0,6143.09,8198.7231458381,9562.53,7500.0
2024,1,الرياض,الرياض,العلا,أرض,land,تجاري,commercial,1,1600000.0,3000.0,,,
2024,1,الرياض,الرياض,العلا,أرض,land,سكني,residential,146,69946500.0,125166.78,554.181710927882,626.666666666667,480.895915678524
2024,1,الرياض,الرياض,العليا,أرض,land,تجاري,commercial,3,86700000.0,6600.0,,,
2024,1,الرياض,الرياض,العليا,أرض,land,سكني,residential,23,54898500.0,11598.89,4822.57890230826,5255.68,4000.0
2024,1,الرياض,الرياض,العليا,شقة,apartment,سكني,residential,7,11587200.0,644.13,18070.6610224683,21427.97,11593.49
2024,1,الرياض,الرياض,العليا,فيلا,villa,سكني,residential,10,28239000.0,3376.095,8279.67149304626,10631.81,6583.33
2024,1,الرياض,الرياض,العماجية,أرض,land,سكني,residential,1,3220482.0,14979.3,,,
2024,1,الرياض,الرياض,العمل,أرض,land,تجاري,commercial,1,5000000.0,960.0,,,
2024,1,الرياض,الرياض,العمل,أرض,land,سكني,residential,5,1068752.0,1659.0,,,
2024,1,الرياض,الرياض,العمل,عمارة,building,سكني,residential,3,4100000.0,524.65,,,
2024,1,الرياض,الرياض,العوالي,أرض,land,تجاري,commercial,9,13062500.0,7346.98,1557.51322520002,2450.0,895.39
2024,1,الرياض,الرياض,العوالي,أرض,land,سكني,residential,60,79739512.16,31730.96,2459.13796617138,4470.59,1866.67
2024,1,الرياض,الرياض,العوالي,شقة,apartment,سكني,residential,55,33843683.0,8206.25,4306.42730227344,5089.82,3551.72
